"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP5",26.9139622432699,0.00322495335253971,0.322495335253971
"SNP1",21.2440973034398,2.65887130880609e-11,2.65887130880609e-09
"SNP4",18.5190358633607,3.83938270267505e-09,3.83938270267505e-07
"SNP3",6.06337453202618,0.00487248728894735,0.487248728894735
"SNP50",3.10095641419451,0.149286445479889,1
"SNP43",2.81345834909333,0.0778490236560122,1
"SNP20",2.70457997403247,0.579389989786337,1
"SNP65",2.54060546279169,0.615172972648036,1
"SNP11",2.51247477962356,0.561742256464776,1
"SNP92",2.50701620622572,0.784447677087302,1
"SNP60",2.47230865858013,0.0513896407365913,1
