"","Importancia_RF"
"SNP1",21.2440973034398
"SNP2",23.8432525008951
"SNP3",6.06337453202618
"SNP4",18.5190358633607
"SNP5",26.9139622432699
"SNP6",2.01499790297492
"SNP7",21.3540635008101
"SNP8",22.2369436380867
"SNP9",1.97917368803867
"SNP10",2.12792448383395
"SNP11",2.51247477962356
"SNP12",1.48615403089963
"SNP13",1.85526578888233
"SNP14",1.83961955786546
"SNP15",1.2888762778197
"SNP16",1.7806231945476
"SNP17",2.32846696587601
"SNP18",0.961620221903665
"SNP19",1.65406651677214
"SNP20",2.70457997403247
"SNP21",1.86760466586095
"SNP22",1.87292285941247
"SNP23",1.29840926918021
"SNP24",2.71324865054433
"SNP25",2.14778723887603
"SNP26",2.31488722168009
"SNP27",1.65230094449886
"SNP28",1.96064819402846
"SNP29",1.23973207901853
"SNP30",1.27181970129053
"SNP31",2.30838014455943
"SNP32",1.97688077287051
"SNP33",2.01458737146026
"SNP34",1.74675070895419
"SNP35",1.94352080832142
"SNP36",3.29086778121491
"SNP37",1.40925329599913
"SNP38",1.58963597704878
"SNP39",2.1322644320507
"SNP40",1.61616963210145
"SNP41",1.44912723850717
"SNP42",1.38541760022857
"SNP43",2.81345834909333
"SNP44",2.30425141726691
"SNP45",1.44420574594054
"SNP46",1.56332946177351
"SNP47",2.03391313351045
"SNP48",1.69373454083653
"SNP49",2.06842464667185
"SNP50",3.10095641419451
"SNP51",1.22374182321645
"SNP52",2.00459147838208
"SNP53",2.25411867410166
"SNP54",2.34923641721428
"SNP55",2.39344093927437
"SNP56",2.42576213396605
"SNP57",1.15719959752275
"SNP58",2.19154324818458
"SNP59",3.13245340102552
"SNP60",2.47230865858013
"SNP61",1.59920316256719
"SNP62",0.979472183928609
"SNP63",2.36101512015853
"SNP64",1.68272878975484
"SNP65",2.54060546279169
"SNP66",2.173921787585
"SNP67",1.77976231435581
"SNP68",2.99376973244829
"SNP69",2.11204603301504
"SNP70",1.50018573186293
"SNP71",2.62232842173257
"SNP72",2.40282750189248
"SNP73",2.17017598234892
"SNP74",1.05265855684871
"SNP75",2.37468439426926
"SNP76",2.76763505584747
"SNP77",1.7341164793983
"SNP78",1.90110391230309
"SNP79",1.85787650410513
"SNP80",1.17162961748915
"SNP81",1.00935733025296
"SNP82",1.91945147666644
"SNP83",1.70134483258251
"SNP84",2.26279139529766
"SNP85",1.78888411968035
"SNP86",1.78169639287334
"SNP87",2.443489691517
"SNP88",1.87476214542131
"SNP89",1.79320220356511
"SNP90",1.2700874147888
"SNP91",1.35628493436879
"SNP92",2.50701620622572
"SNP93",1.40863580956922
"SNP94",2.02259432409533
"SNP95",1.47453157338294
"SNP96",1.16516793183992
"SNP97",1.93094821020335
"SNP98",1.68617326374131
"SNP99",2.01546013982562
"SNP100",2.11205072597802
