"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP5",26.9139622432699,0.00322495335253971,0.322495335253971
"SNP2",23.8432525008951,7.81408697913796e-05,0.00781408697913796
"SNP8",22.2369436380867,0.000104872321299111,0.0104872321299111
"SNP7",21.3540635008101,2.55193636388024e-11,2.55193636388024e-09
"SNP1",21.2440973034398,2.65887130880609e-11,2.65887130880609e-09
"SNP4",18.5190358633607,3.83938270267505e-09,3.83938270267505e-07
"SNP3",6.06337453202618,0.00487248728894735,0.487248728894735
"SNP36",3.29086778121491,0.562830942721198,1
"SNP59",3.13245340102552,0.722952785270953,1
"SNP50",3.10095641419451,0.149286445479889,1
"SNP68",2.99376973244829,0.437855176544604,1
"SNP43",2.81345834909333,0.0778490236560122,1
"SNP76",2.76763505584747,0.127210083433493,1
"SNP24",2.71324865054433,0.945247449987866,1
"SNP20",2.70457997403247,0.579389989786337,1
"SNP71",2.62232842173257,0.166519612649213,1
"SNP65",2.54060546279169,0.615172972648036,1
"SNP11",2.51247477962356,0.561742256464776,1
"SNP92",2.50701620622572,0.784447677087302,1
"SNP60",2.47230865858013,0.0513896407365913,1
"SNP87",2.443489691517,0.963702894170143,1
"SNP56",2.42576213396605,0.166381287159566,1
"SNP72",2.40282750189248,0.75341217300336,1
"SNP55",2.39344093927437,0.768808466310992,1
"SNP75",2.37468439426926,0.282582763518018,1
"SNP63",2.36101512015853,0.978204351980134,1
"SNP54",2.34923641721428,0.352594955791574,1
"SNP17",2.32846696587601,0.863761536681634,1
"SNP31",2.30838014455943,0.194395035193156,1
"SNP84",2.26279139529766,0.356251010847304,1
"SNP53",2.25411867410166,0.675927254915725,1
"SNP66",2.173921787585,0.203824014098321,1
"SNP73",2.17017598234892,0.671019204666813,1
"SNP10",2.12792448383395,0.294179612120415,1
"SNP69",2.11204603301504,0.144397966001218,1
"SNP49",2.06842464667185,0.526956357745263,1
"SNP47",2.03391313351045,0.787511035417662,1
"SNP94",2.02259432409533,0.338885728661588,1
"SNP6",2.01499790297492,0.152936761664104,1
"SNP33",2.01458737146026,0.474233656454848,1
"SNP52",2.00459147838208,0.326964459224208,1
"SNP9",1.97917368803867,0.341089184062365,1
"SNP28",1.96064819402846,0.0425141510443252,1
"SNP35",1.94352080832142,0.358272469078438,1
"SNP97",1.93094821020335,0.624435532526378,1
"SNP88",1.87476214542131,0.10675953376858,1
"SNP22",1.87292285941247,0.681062520077027,1
"SNP13",1.85526578888233,0.880855476260259,1
"SNP14",1.83961955786546,0.234571118052718,1
"SNP89",1.79320220356511,0.0168741422900908,1
"SNP16",1.7806231945476,0.836523543096065,1
"SNP67",1.77976231435581,0.888850500773325,1
"SNP77",1.7341164793983,0.449179576852157,1
