"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP3",83.2867440350516,5.58519813178628e-25,5.58519813178628e-23
"SNP1",83.0705755189445,4.32156623755252e-29,4.32156623755252e-27
"SNP2",36.1422840147343,3.3900810312969e-08,3.3900810312969e-06
"SNP5",18.4343500212117,0.00113602601729165,0.113602601729165
"SNP4",12.3229417956504,0.0151565495831312,1
"SNP8",8.74079019091652,0.0077416311693579,0.77416311693579
"SNP89",4.90038355255645,0.00875282997901768,0.875282997901768
"SNP54",4.66825839742892,0.215272086442919,1
"SNP27",4.34367225406254,0.11186612376087,1
"SNP92",4.18653263309096,0.517994837779078,1
"SNP16",4.08454200988958,0.783222266940385,1
"SNP11",4.0188868724485,7.19009632316955e-05,0.00719009632316955
"SNP99",3.84225117196187,0.872266633216938,1
"SNP64",3.57578919674649,0.768615483449704,1
"SNP59",3.49722793543823,0.44953356690418,1
"SNP97",3.4167579484067,0.695286252736236,1
"SNP20",3.3803879305107,0.212528475130482,1
"SNP32",3.37849577331575,0.475213389278044,1
"SNP24",3.36984989320511,0.409985294263156,1
"SNP6",3.32889000989102,0.223803041851865,1
"SNP43",3.27320939423964,0.0248332884358663,1
"SNP31",3.2315931903702,0.52349626260444,1
"SNP76",3.18609344051346,0.862626655221896,1
"SNP78",3.12377323873101,0.524529293537583,1
"SNP87",3.12081058815422,0.71582613247856,1
"SNP82",3.05982060990581,0.695631048482096,1
"SNP53",3.01180111070235,0.88916886058586,1
"SNP7",2.99460959043165,0.61666155610864,1
