"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP3",31.0552351357306,1.52577498385847e-14,1.52577498385847e-12
"SNP2",26.7114816489139,1.1705243047651e-13,1.1705243047651e-11
"SNP5",23.1920165226797,2.42183326476913e-08,2.42183326476913e-06
"SNP1",21.2974879310944,8.67206638033272e-10,8.67206638033272e-08
"SNP4",19.0626974302865,0.000169599267163422,0.0169599267163422
"SNP7",13.7897391917167,0.940138395713532,1
"SNP8",11.8454507949725,2.50282520487967e-05,0.00250282520487967
"SNP77",3.18867251741955,0.0490688580315353,1
"SNP6",2.77818942402661,0.370997370158,1
"SNP88",2.54096294124538,0.0219655339108071,1
"SNP21",2.53327903453992,0.530122886181246,1
