"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP3",31.0552351357306,1.52577498385847e-14,1.52577498385847e-12
"SNP2",26.7114816489139,1.1705243047651e-13,1.1705243047651e-11
"SNP5",23.1920165226797,2.42183326476913e-08,2.42183326476913e-06
"SNP1",21.2974879310944,8.67206638033272e-10,8.67206638033272e-08
"SNP4",19.0626974302865,0.000169599267163422,0.0169599267163422
"SNP8",11.8454507949725,2.50282520487967e-05,0.00250282520487967
"SNP36",3.33087664286602,0.853890308481641,1
"SNP77",3.18867251741955,0.0490688580315353,1
"SNP92",3.1510956463519,0.223474119737637,1
"SNP87",3.02206863094606,0.945577891885884,1
"SNP14",3.00688926240304,0.859358769648043,1
"SNP60",2.84371856718988,0.385476138798476,1
"SNP6",2.77818942402661,0.370997370158,1
"SNP61",2.72124931735554,0.157656432572242,1
"SNP28",2.70775660694557,0.673333312103969,1
"SNP11",2.66775247498699,0.0637817516832806,1
"SNP88",2.54096294124538,0.0219655339108071,1
"SNP21",2.53327903453992,0.530122886181246,1
"SNP34",2.52009391446162,0.254033988688945,1
"SNP38",2.50993962316335,0.462734495677053,1
"SNP93",2.49848119541441,0.327359981862251,1
"SNP12",2.44741169487911,0.264548235734682,1
"SNP58",2.44249869269759,0.402586062069621,1
"SNP95",2.34602140367554,0.427012503769416,1
"SNP27",2.33675785050839,0.521140326905695,1
"SNP39",2.33423734183401,0.866979543353737,1
"SNP62",2.29192242797921,0.0148250058813667,1
"SNP31",2.28015970221617,0.399332898623591,1
"SNP37",2.2579194350667,0.210376355535252,1
"SNP83",2.22359750561966,0.046129498773097,1
"SNP100",2.20677827902107,0.197664916625578,1
"SNP91",2.11217025332362,0.533809546234333,1
"SNP55",2.09977370329504,0.365026403960403,1
"SNP59",2.09818782135897,0.813159122148227,1
"SNP99",2.01282517724333,0.727592089482977,1
"SNP69",1.99266160194297,0.507955438537903,1
"SNP89",1.93901699677344,0.016874142290086,1
"SNP19",1.85579157046432,0.225807042292689,1
"SNP57",1.85520205552584,0.701398321797206,1
"SNP84",1.79910045011527,0.845934014640832,1
