"Exec","Kernel","N_GA","V_GA","Prec_GA","Sens_GA","F1_GA"
1,"Linear",9,3,33.3,37.5,35.3
1,"Radial_0.001",18,3,16.7,37.5,23.1
1,"Radial_0.01",16,3,18.8,37.5,25
1,"Radial_0.1",5,3,60,37.5,46.2
1,"Radial_1",5,2,40,25,30.8
2,"Linear",14,2,14.3,25,18.2
2,"Radial_0.001",21,4,19,50,27.6
2,"Radial_0.01",17,4,23.5,50,32
2,"Radial_0.1",7,2,28.6,25,26.7
2,"Radial_1",4,3,75,37.5,50
3,"Linear",18,5,27.8,62.5,38.5
3,"Radial_0.001",11,2,18.2,25,21.1
3,"Radial_0.01",21,3,14.3,37.5,20.7
3,"Radial_0.1",8,3,37.5,37.5,37.5
3,"Radial_1",5,2,40,25,30.8
4,"Linear",12,3,25,37.5,30
4,"Radial_0.001",15,3,20,37.5,26.1
4,"Radial_0.01",16,3,18.8,37.5,25
4,"Radial_0.1",10,2,20,25,22.2
4,"Radial_1",5,3,60,37.5,46.2
5,"Linear",13,5,38.5,62.5,47.6
5,"Radial_0.001",28,7,25,87.5,38.9
5,"Radial_0.01",26,6,23.1,75,35.3
5,"Radial_0.1",9,3,33.3,37.5,35.3
5,"Radial_1",4,3,75,37.5,50
6,"Linear",10,4,40,50,44.4
6,"Radial_0.001",20,4,20,50,28.6
6,"Radial_0.01",8,3,37.5,37.5,37.5
6,"Radial_0.1",11,3,27.3,37.5,31.6
6,"Radial_1",6,2,33.3,25,28.6
7,"Linear",8,2,25,25,25
7,"Radial_0.001",13,2,15.4,25,19
7,"Radial_0.01",16,2,12.5,25,16.7
7,"Radial_0.1",6,2,33.3,25,28.6
7,"Radial_1",3,2,66.7,25,36.4
8,"Linear",13,2,15.4,25,19
8,"Radial_0.001",34,3,8.8,37.5,14.3
8,"Radial_0.01",11,2,18.2,25,21.1
8,"Radial_0.1",6,2,33.3,25,28.6
8,"Radial_1",4,2,50,25,33.3
9,"Linear",15,3,20,37.5,26.1
9,"Radial_0.001",8,3,37.5,37.5,37.5
9,"Radial_0.01",12,4,33.3,50,40
9,"Radial_0.1",7,2,28.6,25,26.7
9,"Radial_1",4,3,75,37.5,50
10,"Linear",24,3,12.5,37.5,18.8
10,"Radial_0.001",15,2,13.3,25,17.4
10,"Radial_0.01",14,2,14.3,25,18.2
10,"Radial_0.1",9,2,22.2,25,23.5
10,"Radial_1",5,2,40,25,30.8
