"SNP","causal"
"SNP2",TRUE
"SNP1",TRUE
"SNP5",TRUE
"SNP42",FALSE
"SNP64",FALSE
"SNP88",FALSE
"SNP54",FALSE
"SNP78",FALSE
"SNP14",FALSE
"SNP92",FALSE
"SNP90",FALSE
"SNP58",FALSE
"SNP68",FALSE
"SNP21",FALSE
"SNP70",FALSE
"SNP94",FALSE
"SNP60",FALSE
"SNP61",FALSE
"SNP39",FALSE
"SNP10",FALSE
"SNP98",FALSE
"SNP7",TRUE
"SNP13",FALSE
"SNP17",FALSE
"SNP32",FALSE
"SNP65",FALSE
"SNP19",FALSE
"SNP3",TRUE
"SNP28",FALSE
"SNP80",FALSE
"SNP4",TRUE
"SNP6",TRUE
"SNP99",FALSE
"SNP33",FALSE
"SNP23",FALSE
"SNP73",FALSE
"SNP45",FALSE
"SNP87",FALSE
"SNP91",FALSE
"SNP43",FALSE
"SNP47",FALSE
"SNP52",FALSE
"SNP83",FALSE
"SNP8",TRUE
"SNP75",FALSE
"SNP93",FALSE
"SNP62",FALSE
"SNP51",FALSE
"SNP16",FALSE
"SNP63",FALSE
"SNP48",FALSE
"SNP59",FALSE
"SNP25",FALSE
"SNP18",FALSE
"SNP36",FALSE
"SNP29",FALSE
"SNP15",FALSE
"SNP27",FALSE
"SNP49",FALSE
"SNP41",FALSE
"SNP24",FALSE
"SNP85",FALSE
"SNP38",FALSE
"SNP40",FALSE
"SNP67",FALSE
"SNP69",FALSE
"SNP95",FALSE
"SNP55",FALSE
"SNP9",FALSE
"SNP50",FALSE
"SNP56",FALSE
"SNP100",FALSE
"SNP72",FALSE
"SNP82",FALSE
"SNP76",FALSE
"SNP20",FALSE
"SNP97",FALSE
"SNP30",FALSE
"SNP11",FALSE
"SNP81",FALSE
"SNP66",FALSE
"SNP89",FALSE
"SNP34",FALSE
"SNP37",FALSE
"SNP77",FALSE
"SNP12",FALSE
"SNP35",FALSE
"SNP74",FALSE
"SNP71",FALSE
"SNP57",FALSE
"SNP31",FALSE
"SNP44",FALSE
"SNP46",FALSE
"SNP96",FALSE
"SNP86",FALSE
"SNP79",FALSE
"SNP53",FALSE
"SNP84",FALSE
