"Exec","Kernel","SNP"
1,"Linear","SNP2"
1,"Linear","SNP1"
1,"Linear","SNP42"
1,"Linear","SNP36"
1,"Linear","SNP54"
1,"Linear","SNP32"
1,"Linear","SNP78"
1,"Linear","SNP11"
2,"Linear","SNP2"
2,"Linear","SNP1"
2,"Linear","SNP5"
2,"Linear","SNP20"
2,"Linear","SNP48"
2,"Linear","SNP36"
2,"Linear","SNP30"
2,"Linear","SNP78"
2,"Linear","SNP33"
2,"Linear","SNP70"
2,"Linear","SNP4"
2,"Linear","SNP69"
2,"Linear","SNP81"
3,"Linear","SNP2"
3,"Linear","SNP1"
3,"Linear","SNP64"
3,"Linear","SNP20"
3,"Linear","SNP48"
3,"Linear","SNP36"
3,"Linear","SNP88"
3,"Linear","SNP97"
3,"Linear","SNP54"
3,"Linear","SNP11"
3,"Linear","SNP14"
3,"Linear","SNP49"
3,"Linear","SNP98"
4,"Linear","SNP2"
4,"Linear","SNP1"
4,"Linear","SNP42"
4,"Linear","SNP64"
4,"Linear","SNP20"
4,"Linear","SNP97"
4,"Linear","SNP88"
4,"Linear","SNP54"
4,"Linear","SNP30"
4,"Linear","SNP78"
4,"Linear","SNP11"
5,"Linear","SNP2"
5,"Linear","SNP1"
5,"Linear","SNP42"
5,"Linear","SNP20"
5,"Linear","SNP97"
5,"Linear","SNP54"
5,"Linear","SNP32"
5,"Linear","SNP78"
5,"Linear","SNP49"
6,"Linear","SNP2"
6,"Linear","SNP1"
6,"Linear","SNP5"
6,"Linear","SNP42"
6,"Linear","SNP20"
6,"Linear","SNP36"
6,"Linear","SNP97"
6,"Linear","SNP88"
6,"Linear","SNP54"
6,"Linear","SNP78"
6,"Linear","SNP11"
6,"Linear","SNP49"
7,"Linear","SNP2"
7,"Linear","SNP1"
7,"Linear","SNP20"
7,"Linear","SNP64"
7,"Linear","SNP48"
7,"Linear","SNP36"
7,"Linear","SNP54"
7,"Linear","SNP32"
7,"Linear","SNP14"
7,"Linear","SNP11"
8,"Linear","SNP2"
8,"Linear","SNP1"
8,"Linear","SNP5"
8,"Linear","SNP20"
8,"Linear","SNP36"
8,"Linear","SNP48"
8,"Linear","SNP88"
8,"Linear","SNP54"
8,"Linear","SNP30"
8,"Linear","SNP78"
8,"Linear","SNP92"
8,"Linear","SNP11"
8,"Linear","SNP98"
9,"Linear","SNP2"
9,"Linear","SNP1"
9,"Linear","SNP20"
9,"Linear","SNP48"
9,"Linear","SNP88"
9,"Linear","SNP78"
9,"Linear","SNP34"
9,"Linear","SNP14"
9,"Linear","SNP49"
9,"Linear","SNP23"
10,"Linear","SNP2"
10,"Linear","SNP1"
10,"Linear","SNP5"
10,"Linear","SNP42"
10,"Linear","SNP20"
10,"Linear","SNP36"
10,"Linear","SNP30"
10,"Linear","SNP78"
10,"Linear","SNP34"
10,"Linear","SNP11"
10,"Linear","SNP14"
10,"Linear","SNP98"
10,"Linear","SNP83"
