"","Importancia_RF"
"SNP1",83.0705755189445
"SNP2",36.1422840147343
"SNP3",83.2867440350516
"SNP4",12.3229417956504
"SNP5",18.4343500212117
"SNP6",3.32889000989102
"SNP7",2.99460959043165
"SNP8",8.74079019091652
"SNP9",2.12313892944899
"SNP10",2.9820697129235
"SNP11",4.0188868724485
"SNP12",2.87983872190824
"SNP13",2.77245746785916
"SNP14",2.45824428599263
"SNP15",2.31370682349053
"SNP16",4.08454200988958
"SNP17",1.89852531664263
"SNP18",1.21045103036529
"SNP19",3.82268782165555
"SNP20",3.3803879305107
"SNP21",3.29598493416324
"SNP22",2.74837743004244
"SNP23",2.22254977475385
"SNP24",3.36984989320511
"SNP25",2.50285674231382
"SNP26",2.53451326613368
"SNP27",4.34367225406254
"SNP28",2.04418183549396
"SNP29",2.002127636232
"SNP30",1.83024144526489
"SNP31",3.2315931903702
"SNP32",3.37849577331575
"SNP33",2.87095238932961
"SNP34",2.01668182904513
"SNP35",1.41681152650085
"SNP36",1.66711164164319
"SNP37",4.02160472077609
"SNP38",3.57949883606676
"SNP39",2.21257964666025
"SNP40",2.29047530429418
"SNP41",2.21522601052539
"SNP42",2.10874891358361
"SNP43",3.27320939423964
"SNP44",2.56354336383725
"SNP45",2.29917964624897
"SNP46",3.12827709424627
"SNP47",1.98122242423243
"SNP48",2.74147995461425
"SNP49",2.00324361816375
"SNP50",3.33424471837112
"SNP51",2.02623680484109
"SNP52",2.25964162585792
"SNP53",3.01180111070235
"SNP54",4.66825839742892
"SNP55",1.79831106840873
"SNP56",3.00442884208685
"SNP57",1.96605403926608
"SNP58",2.41435025124012
"SNP59",3.49722793543823
"SNP60",2.72773243590413
"SNP61",2.25644704866582
"SNP62",2.87011510977873
"SNP63",2.32482639347799
"SNP64",3.57578919674649
"SNP65",2.51695489803097
"SNP66",2.19772369187928
"SNP67",2.9136149015416
"SNP68",2.14784274875878
"SNP69",2.09355754929493
"SNP70",3.09444804349725
"SNP71",3.53144700488037
"SNP72",2.9223211830121
"SNP73",3.11968722995455
"SNP74",2.85198466972763
"SNP75",2.07680990530566
"SNP76",3.18609344051346
"SNP77",1.89282156187698
"SNP78",3.12377323873101
"SNP79",3.67206251103268
"SNP80",2.99271239500576
"SNP81",2.12372531613851
"SNP82",3.05982060990581
"SNP83",3.12728952078283
"SNP84",2.76287858650118
"SNP85",2.15484125844051
"SNP86",2.18164464739682
"SNP87",3.12081058815422
"SNP88",2.61367868604616
"SNP89",4.90038355255645
"SNP90",1.54318277258829
"SNP91",1.96827650563546
"SNP92",4.18653263309096
"SNP93",2.45746831836091
"SNP94",2.69146779444968
"SNP95",2.8734306402882
"SNP96",2.07482575431825
"SNP97",3.4167579484067
"SNP98",1.98869384847446
"SNP99",3.84225117196187
"SNP100",2.16991680591936
