"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP5",26.9139622432699,0.00322495335253971,0.322495335253971
"SNP2",23.8432525008951,7.81408697913796e-05,0.00781408697913796
"SNP7",21.3540635008101,2.55193636388024e-11,2.55193636388024e-09
"SNP1",21.2440973034398,2.65887130880609e-11,2.65887130880609e-09
"SNP4",18.5190358633607,3.83938270267505e-09,3.83938270267505e-07
"SNP3",6.06337453202618,0.00487248728894735,0.487248728894735
"SNP36",3.29086778121491,0.562830942721198,1
"SNP59",3.13245340102552,0.722952785270953,1
"SNP50",3.10095641419451,0.149286445479889,1
"SNP68",2.99376973244829,0.437855176544604,1
"SNP43",2.81345834909333,0.0778490236560122,1
"SNP76",2.76763505584747,0.127210083433493,1
"SNP24",2.71324865054433,0.945247449987866,1
"SNP20",2.70457997403247,0.579389989786337,1
"SNP71",2.62232842173257,0.166519612649213,1
"SNP65",2.54060546279169,0.615172972648036,1
"SNP11",2.51247477962356,0.561742256464776,1
"SNP92",2.50701620622572,0.784447677087302,1
"SNP60",2.47230865858013,0.0513896407365913,1
"SNP87",2.443489691517,0.963702894170143,1
"SNP56",2.42576213396605,0.166381287159566,1
"SNP72",2.40282750189248,0.75341217300336,1
"SNP55",2.39344093927437,0.768808466310992,1
"SNP75",2.37468439426926,0.282582763518018,1
"SNP63",2.36101512015853,0.978204351980134,1
"SNP54",2.34923641721428,0.352594955791574,1
"SNP17",2.32846696587601,0.863761536681634,1
"SNP26",2.31488722168009,0.253641688793241,1
"SNP31",2.30838014455943,0.194395035193156,1
"SNP44",2.30425141726691,0.911110587742408,1
"SNP84",2.26279139529766,0.356251010847304,1
"SNP53",2.25411867410166,0.675927254915725,1
"SNP58",2.19154324818458,0.549849519830676,1
"SNP66",2.173921787585,0.203824014098321,1
"SNP73",2.17017598234892,0.671019204666813,1
"SNP25",2.14778723887603,0.628844821264312,1
"SNP39",2.1322644320507,0.557814955105486,1
"SNP10",2.12792448383395,0.294179612120415,1
"SNP100",2.11205072597802,0.897385474438842,1
"SNP69",2.11204603301504,0.144397966001218,1
"SNP49",2.06842464667185,0.526956357745263,1
"SNP47",2.03391313351045,0.787511035417662,1
"SNP94",2.02259432409533,0.338885728661588,1
"SNP99",2.01546013982562,0.555604139928917,1
"SNP6",2.01499790297492,0.152936761664104,1
"SNP33",2.01458737146026,0.474233656454848,1
"SNP52",2.00459147838208,0.326964459224208,1
"SNP9",1.97917368803867,0.341089184062365,1
"SNP32",1.97688077287051,0.738943541424749,1
"SNP28",1.96064819402846,0.0425141510443252,1
"SNP35",1.94352080832142,0.358272469078438,1
"SNP97",1.93094821020335,0.624435532526378,1
"SNP82",1.91945147666644,0.573901141603455,1
"SNP78",1.90110391230309,0.405451782324192,1
"SNP88",1.87476214542131,0.10675953376858,1
"SNP22",1.87292285941247,0.681062520077027,1
"SNP21",1.86760466586095,0.762397171368165,1
"SNP79",1.85787650410513,0.509170355042968,1
"SNP13",1.85526578888233,0.880855476260259,1
"SNP14",1.83961955786546,0.234571118052718,1
"SNP89",1.79320220356511,0.0168741422900908,1
"SNP85",1.78888411968035,0.947581474467815,1
"SNP86",1.78169639287334,0.141531978261717,1
"SNP16",1.7806231945476,0.836523543096065,1
"SNP67",1.77976231435581,0.888850500773325,1
"SNP34",1.74675070895419,0.962065891903035,1
"SNP77",1.7341164793983,0.449179576852157,1
"SNP83",1.70134483258251,0.527805387984817,1
"SNP48",1.69373454083653,0.737994412357335,1
"SNP98",1.68617326374131,0.554292252482891,1
"SNP64",1.68272878975484,0.85988912816848,1
"SNP19",1.65406651677214,0.735071960886441,1
"SNP27",1.65230094449886,0.0405781145625752,1
"SNP40",1.61616963210145,0.122309711855064,1
"SNP61",1.59920316256719,0.79196587519914,1
"SNP38",1.58963597704878,0.375006928683514,1
"SNP46",1.56332946177351,0.0504192969324797,1
"SNP70",1.50018573186293,0.632125825649187,1
"SNP12",1.48615403089963,0.325578652935822,1
"SNP95",1.47453157338294,0.427012503769441,1
"SNP41",1.44912723850717,0.519988573332322,1
"SNP45",1.44420574594054,0.438479638745819,1
"SNP37",1.40925329599913,0.84705967602202,1
"SNP93",1.40863580956922,0.208160783936782,1
"SNP42",1.38541760022857,0.0488279273683774,1
"SNP91",1.35628493436879,0.844171447865656,1
"SNP23",1.29840926918021,0.137135292784919,1
"SNP15",1.2888762778197,0.212297326832808,1
"SNP30",1.27181970129053,0.302124669518907,1
"SNP90",1.2700874147888,0.899613003582973,1
"SNP29",1.23973207901853,0.415350847227265,1
"SNP51",1.22374182321645,0.64753155175313,1
"SNP80",1.17162961748915,0.61033752079472,1
"SNP96",1.16516793183992,0.79294151494557,1
"SNP57",1.15719959752275,0.388576459580132,1
"SNP74",1.05265855684871,0.861426779503266,1
"SNP81",1.00935733025296,0.71619781294497,1
"SNP62",0.979472183928609,0.513071100965789,1
"SNP18",0.961620221903665,0.496954063447952,1
