"","Importancia_RF"
"SNP1",21.2974879310944
"SNP2",26.7114816489139
"SNP3",31.0552351357306
"SNP4",19.0626974302865
"SNP5",23.1920165226797
"SNP6",2.77818942402661
"SNP7",13.7897391917167
"SNP8",11.8454507949725
"SNP9",1.99317360218921
"SNP10",1.00893733362911
"SNP11",2.66775247498699
"SNP12",2.44741169487911
"SNP13",1.44873112272302
"SNP14",3.00688926240304
"SNP15",1.58304850408952
"SNP16",1.56517257130662
"SNP17",1.27267243552454
"SNP18",0.871534832952719
"SNP19",1.85579157046432
"SNP20",1.62661017586552
"SNP21",2.53327903453992
"SNP22",1.59222387584088
"SNP23",1.7626968704111
"SNP24",1.90922029764339
"SNP25",4.13120219361965
"SNP26",1.65865362699869
"SNP27",2.33675785050839
"SNP28",2.70775660694557
"SNP29",1.74342038418141
"SNP30",1.26616733472729
"SNP31",2.28015970221617
"SNP32",1.30990349318455
"SNP33",1.66748342062703
"SNP34",2.52009391446162
"SNP35",1.14016328180746
"SNP36",3.33087664286602
"SNP37",2.2579194350667
"SNP38",2.50993962316335
"SNP39",2.33423734183401
"SNP40",1.88900405450042
"SNP41",1.75917118792709
"SNP42",1.02290843603372
"SNP43",1.50760287620104
"SNP44",1.2569008373294
"SNP45",1.74057458109268
"SNP46",1.11529493592119
"SNP47",0.999288388245145
"SNP48",1.48889296276103
"SNP49",0.930004094517727
"SNP50",1.50375514843314
"SNP51",0.872774636939823
"SNP52",1.57100720345639
"SNP53",1.28928669379806
"SNP54",1.36323833905366
"SNP55",2.09977370329504
"SNP56",1.66034288348044
"SNP57",1.85520205552584
"SNP58",2.44249869269759
"SNP59",2.09818782135897
"SNP60",2.84371856718988
"SNP61",2.72124931735554
"SNP62",2.29192242797921
"SNP63",1.76908522701559
"SNP64",1.84546906303085
"SNP65",1.81210818864034
"SNP66",1.34920371130216
"SNP67",1.27713858748138
"SNP68",1.76427790358438
"SNP69",1.99266160194297
"SNP70",1.5160117401866
"SNP71",1.42374021158333
"SNP72",1.24295781985213
"SNP73",1.8620855553142
"SNP74",1.14652570294868
"SNP75",1.31106378549758
"SNP76",2.38406054478869
"SNP77",3.18867251741955
"SNP78",1.67642127310301
"SNP79",1.94581142312559
"SNP80",1.2350403872995
"SNP81",1.30595479473394
"SNP82",1.5465351067554
"SNP83",2.22359750561966
"SNP84",1.79910045011527
"SNP85",1.3583843096136
"SNP86",1.56883942050095
"SNP87",3.02206863094606
"SNP88",2.54096294124538
"SNP89",1.93901699677344
"SNP90",1.43133575604751
"SNP91",2.11217025332362
"SNP92",3.1510956463519
"SNP93",2.49848119541441
"SNP94",1.12228011910561
"SNP95",2.34602140367554
"SNP96",0.906498895400418
"SNP97",1.39219753434671
"SNP98",1.76969740347894
"SNP99",2.01282517724333
"SNP100",2.20677827902107
