"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP5",26.9139622432699,0.00322495335253971,0.322495335253971
"SNP2",23.8432525008951,7.81408697913796e-05,0.00781408697913796
"SNP8",22.2369436380867,0.000104872321299111,0.0104872321299111
"SNP7",21.3540635008101,2.55193636388024e-11,2.55193636388024e-09
"SNP1",21.2440973034398,2.65887130880609e-11,2.65887130880609e-09
"SNP4",18.5190358633607,3.83938270267505e-09,3.83938270267505e-07
"SNP3",6.06337453202618,0.00487248728894735,0.487248728894735
"SNP36",3.29086778121491,0.562830942721198,1
"SNP59",3.13245340102552,0.722952785270953,1
"SNP50",3.10095641419451,0.149286445479889,1
"SNP68",2.99376973244829,0.437855176544604,1
"SNP43",2.81345834909333,0.0778490236560122,1
"SNP76",2.76763505584747,0.127210083433493,1
"SNP24",2.71324865054433,0.945247449987866,1
"SNP20",2.70457997403247,0.579389989786337,1
"SNP65",2.54060546279169,0.615172972648036,1
"SNP56",2.42576213396605,0.166381287159566,1
"SNP72",2.40282750189248,0.75341217300336,1
"SNP55",2.39344093927437,0.768808466310992,1
"SNP63",2.36101512015853,0.978204351980134,1
"SNP54",2.34923641721428,0.352594955791574,1
"SNP44",2.30425141726691,0.911110587742408,1
"SNP58",2.19154324818458,0.549849519830676,1
"SNP25",2.14778723887603,0.628844821264312,1
"SNP10",2.12792448383395,0.294179612120415,1
"SNP49",2.06842464667185,0.526956357745263,1
"SNP47",2.03391313351045,0.787511035417662,1
"SNP94",2.02259432409533,0.338885728661588,1
"SNP52",2.00459147838208,0.326964459224208,1
"SNP32",1.97688077287051,0.738943541424749,1
"SNP97",1.93094821020335,0.624435532526378,1
"SNP82",1.91945147666644,0.573901141603455,1
"SNP22",1.87292285941247,0.681062520077027,1
"SNP79",1.85787650410513,0.509170355042968,1
"SNP13",1.85526578888233,0.880855476260259,1
"SNP16",1.7806231945476,0.836523543096065,1
"SNP67",1.77976231435581,0.888850500773325,1
"SNP83",1.70134483258251,0.527805387984817,1
"SNP48",1.69373454083653,0.737994412357335,1
