"","Importancia_RF"
"SNP1",45.799712788226
"SNP2",40.5243553784165
"SNP3",8.24837109136929
"SNP4",35.5052561776464
"SNP5",40.10954041903
"SNP6",4.2758310213521
"SNP7",42.644399724366
"SNP8",36.9005391584923
"SNP9",2.4835325940358
"SNP10",2.45330019557132
"SNP11",3.07612703089897
"SNP12",3.41930724667055
"SNP13",3.12330948273727
"SNP14",2.45847798423329
"SNP15",1.8668937988267
"SNP16",2.79574523425971
"SNP17",3.15869798064443
"SNP18",1.56797907428173
"SNP19",2.27536106317248
"SNP20",2.79547498246327
"SNP21",2.90150783792888
"SNP22",2.17291315279101
"SNP23",2.59814301235229
"SNP24",3.339690588097
"SNP25",3.15127243344727
"SNP26",2.50998884208255
"SNP27",3.4201963076411
"SNP28",3.47445979529193
"SNP29",3.45488341420106
"SNP30",2.7961921996703
"SNP31",3.8757411906817
"SNP32",2.79190554046876
"SNP33",3.41099500523448
"SNP34",2.70718241284267
"SNP35",2.1548481895342
"SNP36",4.5825740044415
"SNP37",3.40419984791755
"SNP38",2.58732433366205
"SNP39",2.49350858983168
"SNP40",2.19295564080116
"SNP41",2.31048913752275
"SNP42",2.18609192055194
"SNP43",1.746560992948
"SNP44",2.14593746431328
"SNP45",2.41548406742496
"SNP46",1.61829306407034
"SNP47",2.21383057466686
"SNP48",2.75834556201249
"SNP49",2.20145393148509
"SNP50",2.65853683845083
"SNP51",2.66631181435984
"SNP52",2.24546528951759
"SNP53",2.79313124421599
"SNP54",3.02229081837686
"SNP55",3.47438613001599
"SNP56",1.5464014742668
"SNP57",2.03606360194356
"SNP58",3.31867962759916
"SNP59",3.41229463224961
"SNP60",2.28407122462961
"SNP61",2.71841252612252
"SNP62",2.94685537005756
"SNP63",2.90967953627876
"SNP64",1.70036039699744
"SNP65",1.9423960952117
"SNP66",2.9170906862664
"SNP67",2.39709737062634
"SNP68",3.31887296588329
"SNP69",2.76389699631606
"SNP70",2.34903906140392
"SNP71",4.52782470666823
"SNP72",2.09860274172193
"SNP73",2.97035885471186
"SNP74",1.89495593417937
"SNP75",2.6303251977713
"SNP76",1.65253090253331
"SNP77",2.05182258438735
"SNP78",3.9580266343335
"SNP79",2.65845700075036
"SNP80",3.23568381383047
"SNP81",2.43295860461055
"SNP82",2.56126339343696
"SNP83",2.8505131509008
"SNP84",2.51481866446122
"SNP85",2.18841357649881
"SNP86",2.8027734037803
"SNP87",2.81839790915168
"SNP88",3.01349744047801
"SNP89",4.54894353222307
"SNP90",2.31467701763784
"SNP91",2.82112525202867
"SNP92",2.04150533764308
"SNP93",3.10475326306791
"SNP94",2.38839622878988
"SNP95",2.35771872683421
"SNP96",1.51577266146368
"SNP97",2.23605555283939
"SNP98",1.46787820601593
"SNP99",2.78071388296229
"SNP100",2.52851564288897
