"Exec","Kernel","SNP"
1,"Radial_1","SNP2"
1,"Radial_1","SNP1"
1,"Radial_1","SNP54"
1,"Radial_1","SNP92"
1,"Radial_1","SNP11"
2,"Radial_1","SNP2"
2,"Radial_1","SNP1"
2,"Radial_1","SNP48"
2,"Radial_1","SNP34"
2,"Radial_1","SNP92"
3,"Radial_1","SNP2"
3,"Radial_1","SNP1"
3,"Radial_1","SNP30"
3,"Radial_1","SNP14"
4,"Radial_1","SNP2"
4,"Radial_1","SNP1"
4,"Radial_1","SNP20"
4,"Radial_1","SNP92"
4,"Radial_1","SNP14"
5,"Radial_1","SNP2"
5,"Radial_1","SNP1"
5,"Radial_1","SNP42"
5,"Radial_1","SNP97"
5,"Radial_1","SNP14"
6,"Radial_1","SNP2"
6,"Radial_1","SNP1"
6,"Radial_1","SNP64"
6,"Radial_1","SNP48"
7,"Radial_1","SNP2"
7,"Radial_1","SNP1"
7,"Radial_1","SNP48"
7,"Radial_1","SNP88"
7,"Radial_1","SNP97"
8,"Radial_1","SNP2"
8,"Radial_1","SNP1"
8,"Radial_1","SNP54"
8,"Radial_1","SNP32"
9,"Radial_1","SNP2"
9,"Radial_1","SNP1"
9,"Radial_1","SNP88"
9,"Radial_1","SNP49"
9,"Radial_1","SNP98"
10,"Radial_1","SNP2"
10,"Radial_1","SNP1"
10,"Radial_1","SNP5"
10,"Radial_1","SNP88"
10,"Radial_1","SNP11"
10,"Radial_1","SNP14"
