"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP3",31.0552351357306,1.52577498385847e-14,1.52577498385847e-12
"SNP1",21.2974879310944,8.67206638033272e-10,8.67206638033272e-08
"SNP7",13.7897391917167,0.940138395713532,1
"SNP8",11.8454507949725,2.50282520487967e-05,0.00250282520487967
"SNP36",3.33087664286602,0.853890308481641,1
"SNP77",3.18867251741955,0.0490688580315353,1
"SNP92",3.1510956463519,0.223474119737637,1
"SNP14",3.00688926240304,0.859358769648043,1
"SNP60",2.84371856718988,0.385476138798476,1
"SNP11",2.66775247498699,0.0637817516832806,1
"SNP21",2.53327903453992,0.530122886181246,1
"SNP38",2.50993962316335,0.462734495677053,1
"SNP93",2.49848119541441,0.327359981862251,1
