"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP3",31.0552351357306,1.52577498385847e-14,1.52577498385847e-12
"SNP2",26.7114816489139,1.1705243047651e-13,1.1705243047651e-11
"SNP5",23.1920165226797,2.42183326476913e-08,2.42183326476913e-06
"SNP1",21.2974879310944,8.67206638033272e-10,8.67206638033272e-08
"SNP4",19.0626974302865,0.000169599267163422,0.0169599267163422
"SNP7",13.7897391917167,0.940138395713532,1
"SNP8",11.8454507949725,2.50282520487967e-05,0.00250282520487967
"SNP25",4.13120219361965,0.0912277091461444,1
"SNP36",3.33087664286602,0.853890308481641,1
"SNP77",3.18867251741955,0.0490688580315353,1
"SNP92",3.1510956463519,0.223474119737637,1
"SNP87",3.02206863094606,0.945577891885884,1
"SNP60",2.84371856718988,0.385476138798476,1
"SNP6",2.77818942402661,0.370997370158,1
"SNP61",2.72124931735554,0.157656432572242,1
"SNP88",2.54096294124538,0.0219655339108071,1
"SNP27",2.33675785050839,0.521140326905695,1
"SNP39",2.33423734183401,0.866979543353737,1
"SNP62",2.29192242797921,0.0148250058813667,1
